prolific_id,bonus
67f437b7797e833603cd854e,2.59375
67ef73e5f0eff27d921807de,3.59375
6606c9ba27ed1c874027e057,5.59375
67f5a2c9b3afde1603e9a0b0,4.25
67f62fcadafcd23015ca206a,2.28125
67f6a62131c193d743278ef4,3.46875
5a7f42215292b8000122c84a,3.6875
67f4f3760c6d261acdeec34d,6.9375
67f6b49c396a34d781b1e1a7,3.0625
67cb6016de45ceac40562865,4.59375
67f6321adeab0c11af0452ce,0.96875
67abaa736bc6b75d0a265c91,3.25
6405feae7d6321bfaaf793e8,3.46875
67ab55ea193e5567189bd543,3.125
636330b7f97a8198974a367f,3.15625
5dd14dd31e70da1d0ee5bab8,4.375
6643ab42f572827cc37435d3,4.5625
67f6629ea98cfb7d787c75c8,3.875
5739549114f69e00067becd8,3.0625
6760aada950d8094e6a198ab,5.46875
67f0756f11bafb18b8c997d5,5.125
684454c23d7606e1715b21ed,4.46875
68333f31ea90689e11f85112,4.84375
67e6e9b7203c9f5fe50b2e8c,4.8125
6838f67e8e4511248b0ecf28,4.625
68471794f494d0f48cc8ec9d,4.375
683f1a2472d54f64f086207e,3.3125
6843186c444912d30092d480,4.25
6827ba6e0560bc0160cd172c,2.71875
6833b6efd452db5d34227963,6.6875
